region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,66,11196,183601,13,550064,-85.72997885096974,34
Great Barrier Reef,77,113715,693791,13,3374198,-85.72997885096974,34
Gulf of Carpentaria,3,518,17463,1,29349,-85.72997885096974,34
Kangaroo Island Area,86,8637,265722,12,1521577,-85.72997885096974,34
Kimberley,1144,1966821,13737949,33,25310309,-85.72997885096974,34
Pilbara/Canarvon,146,12753,429506,20,1192693,-85.72997885096974,34
South West,108,6631,300181,9,597957,-85.72997885096974,34
Southern Tasmania,36,7793,141592,10,1304708,-85.72997885096974,34
Sydney Area,25,843,55223,10,285284,-85.72997885096974,34
Tiwi-Coburg,12,1327,41062,6,460032,-85.72997885096974,34
Torres Strait,73,146404,864165,8,3824527,-85.72997885096974,34
NA,266,2831836,5800897,45,41817265,-85.72997885096974,34
