region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level
Bass Strait,183,301857,999166,20,5978647,-40
Great Barrier Reef,1121,2410414,17367315,13,16475077,-40
Gulf of Carpentaria,129,37208,707957,17,1070054,-40
Kangaroo Island Area,150,30716,699936,10,4931482,-40
Kimberley,932,1170513,11120899,19,18990163,-40
Pilbara/Canarvon,139,15014,539474,26,1145604,-40
South West,306,34781,1120001,25,4913067,-40
Southern Tasmania,19,1839,74099,6,980555,-40
Sydney Area,13,464,32568,10,218900,-40
Tiwi-Coburg,90,66349,813675,13,631451,-40
Torres Strait,505,134079,2615664,3,3836155,-40
NA,379,2099538,5739081,30,38669641,-40
